,KO_0.1,KO_0.2,KO_0.3,KO_4.1,KO_4.2,KO_4.3,KO_8.1,KO_8.2,KO_8.3,WT_0.1,WT_0.2,WT_0.3,WT_4.1,WT_4.2,WT_8.1,WT_8.2,WT_8.3
ENSMUSG00000102693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000051951,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000102851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025900,28,38,29,32,42,22,24,30,27,71,63,94,78,61,61,41,53
ENSMUSG00000102948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025902,34,27,35,9,6,13,5,3,7,41,40,30,16,10,9,5,5
ENSMUSG00000104238,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
ENSMUSG00000102269,1,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0
ENSMUSG00000096126,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104328,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000098104,1,0,2,1,0,1,1,0,2,0,4,1,0,1,1,2,2
ENSMUSG00000102175,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
ENSMUSG00000088000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103922,35,36,35,31,35,29,41,40,33,36,23,36,36,31,34,36,34
ENSMUSG00000033845,960,894,944,928,1014,1020,962,983,979,858,869,988,827,919,977,1032,967
ENSMUSG00000102275,1,2,0,1,0,0,2,1,0,0,3,0,0,0,0,0,0
ENSMUSG00000025903,899,965,955,1136,1000,1064,1167,1055,1085,986,1028,1045,1162,1118,1040,1097,1169
ENSMUSG00000104217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033813,301,284,322,283,321,330,283,294,297,290,317,286,288,308,308,317,325
ENSMUSG00000062588,8,2,5,7,4,3,6,11,1,2,4,2,4,5,3,7,3
ENSMUSG00000103280,0,1,0,0,0,1,0,0,0,1,0,2,0,1,0,1,0
ENSMUSG00000002459,0,0,0,1,0,1,0,0,0,0,2,0,0,1,1,0,1
ENSMUSG00000091305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000091665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033793,355,313,364,301,322,300,257,286,287,385,396,393,300,318,328,285,299
ENSMUSG00000104352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025905,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ENSMUSG00000103936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000033774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000025907,1167,1201,1171,1266,1209,1269,1136,1109,1167,1221,1356,1366,1226,1206,1145,1138,1276
ENSMUSG00000090031,15,13,18,10,7,5,7,11,9,11,16,13,7,12,7,4,9
ENSMUSG00000087247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103355,0,2,0,1,0,0,0,1,0,0,1,0,0,0,1,1,1
ENSMUSG00000102706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000103845,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
ENSMUSG00000033740,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ENSMUSG00000103329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000104385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
ENSMUSG00000103282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
